اسم الفيلم,تاريخ العرض,تصنيف الفيلم,مدة الفيلم (دقيقة),ملخص,تمثيل,تأليف,إنتاج,تصوير,مونتاج,ديكور,ملابس,موسيقى,إخراج,توزيع
الليل لنا,1949,nan,100,والي مغني فرقه متجول صديق راقص ٱلتقي صدفه دكتور مدح كرس وقت طالب اعجب والي لٰكن تجرء حقيقه مهنه دعا مدرسه دافع راقص مايسه مدح حاول ٱستمال صرح احب والي صرح حقيقه خدعه مغني مدرسه مدح تمسك والي حاول ٱلتقي عرف حقيقه زال مصر زواج فعل تزوج حدث ٱتهم فنان صديق جريمه قتل عم برء اهم عمل والي لحظه قتل عم براءه توقف شهاده والي والي سجن عرف مدح ٱتهم خيانه طرد بيت قدم فنان محكمه تقدم والي شهد صالح بر ساحه ٱكتشف مدح ظلم زوجه ٱعتذر اعاد حياه مره اخري بدا جديد,"وهبة حسب الله,صباح,محمود ذو الفقار,سليمان نجيب,نيللي مظلوم,صلاح نظمي,محمد كامل,عبدالحميد زكي,شفيق نور الدين,محمود عزمي,عبدالمنعم إسماعيل,محسن حسنين,عبد المنعم سعودي,فرج النحاس,علي كامل,محمود نصير",يوسف جوهر,"أفلام عزيزة أمير,محمد حجاج","ضياء الدين المهدي,برونو سالفي",اميل بحرى,"ستوديو الأهرام (ستوديوهات الأهرام),حسين الشريف (حسين شريف)",nan,شارل فوسكلو,"محمود ذو الفقار,جمال الدماطي,يوسف متى",nan
الشيطان شاطر,1949,nan,-,ملخص,"فريد الأطرش,سامية جمال",nan,nan,nan,nan,nan,nan,nan,nan,nan
ليلى فى العراق,1949,nan,95,شابه حدث فيلم فيلم اخر انتج مصر سنه فيلم لبناني جامعه وقع حدث فيلم لبنان ٱشتهر مطرب شاب احاط معجب رغم نجاح كثره معجب ٱرتبط ايه بقي باحث فتاه حلم حتي عثر فتاه جميل تبادل مشعر حب معجب سعي وسيله افشال علاقه جميل اصرار شاب فتاه ٱستمرار فشل محاوله عراق منتهي سعاده فرح عاش حياه سعيد,"جعفر السعدي,إبراهيم جلال,نورهان,عبدالله العزاوى,عفيفة إسكندر,محمد سلمان,ياس علي الناصر ","محمد سلمان,أحمد كامل مرسي",ستوديوبغداد,أوهان,nan,nan,nan,nan,أحمد كامل مرسي,nan
ذو الوجهين,1949,nan,100,عطيه زوج ضعيف شخص حاول زوجه امين دفع قوي شخص لٰكن فشل اخذ ٱبنه ايناس هرب منزل عمل ممرض ثري سافر جنوب افريقيا حسن خدمه ثروه امر ثري عمل عطيه كومبارس متولي الريجيسير فاشل عمل ٱستولي جري امين مصر غرب عرف متولي الريجيسير اقنع انتاج فيلم سينماءي عرف ٱبن حماده ايناس انشا قصه حب مصير حب زوج قدامي,"نادية السبع,عباس فارس,محمود المليجي,زوزو شكيب,رشدي أباظة,ليلى الدماطى,سعاد الرشيدى,أحمد أباظة,رجاء محمد,عبدالعزيز خورشيد","عبدالعزيز خورشيد,أحمد ضياء الدين",nan,nan,nan,nan,nan,nan,"جمال الدماطي,ولي الدين سامح",nan
كل بيت له راجل,1949,nan,90,عالم شديد عنايه ٱقتناء مخطوط كتاب نفيس مات عالم وراء زوجه ٱبنه وحيد تردد منزل رجل وسيم مندوب مصلحه اعجب ام اعجب تبادل حب بنت احب حاول ٱستمال لٰكن ٱكتشف ام احب ثار ام ٱتهم اخلاص والد متوفي حاول شاب احب صرف عداء ام لٰكن فشل تازم موقف تدخل رجل نصح عمر ٱبنه شاب احب لٰكن ثار صراع داخل راوند هدوء ٱكتشف خطوه وقع حب رجل عمر والد ٱفتقد والد ٱلتفت شاب احب ٱنتظر خاص نجاح مشروع باراك زواج ام رجل,"أمينة رزق,فاتن حمامة,محمود المليجي,عبدالعزيز أحمد,محمد كامل,عبدالعزيز محمود,شوشو عز الدين,عبدالعليم خطاب,لطفي الحكيم,حسنة سليمان,زكي محمد حسن (زكي الحرامي),مجدى فريد,وجيه عزت","أحمد كامل مرسي,مجدى فريد","أفلام مجدى فريد,مجدى فريد,رمسيس عزيز","امبرتو لانزانو,فارس وهبة,أرام ماراليان",أحمد إسماعيل,مجدى فريد,nan,"مصطفى السيد,عبدالعزيز محمود,جليل البنداري","أحمد كامل مرسي,ريمون نصور,عدلي خليل",nan
الأجنحة الملونة,1949,nan,-,ملخص,nan,nan,nan,nan,nan,nan,nan,nan,سعد نديم,nan
نص الليل,1949,nan,120,ٱبتسام فتاه مدلل عبث قلب هوه عمد عبث بهءلاء شب اجري وراء ثراء جمال ري جدير حب معتمد ثراء والد مركز ٱجتماع حدث ٱلتقي شاب قوي شخص ٱسم فرج رفض اثار فضول ٱقترب عرف شاب عبث قلب شب قرر فعل ٱستطاع اهان شعر ضال حجم شيء ٱرتبط طبيعه اطاح عبث هام فرج شعر مر مال عبث قيمه اجمل حتي طبيعه تمام ٱستطاع فرج ٱبتسام شخص اخري صالح زواج رعايه بيت تزوج نهايه,"كاميليا,كارم محمود,إسماعيل يس,هدى شمس الدين,ثريا حلمي,عزيز عثمان,سعاد أحمد,زكي إبراهيم,ثريا حسن,حسن كامل,عبدالحليم القلعاوي,رياض القصبجي","بديع خيري,حسين فوزي","علي الجابري,ستوديوهات (حدائق) شبرا,فهمى داود,أرمان بوهالوفيتش","زكريا منصور,فيرى فاركاش (فرانسوا فاركاش)",ماري شماس,"عباس حلمي,حسن حسن",nan,"كارم محمود,محمود الشريف,علي فراج",حسين فوزي,nan
سر الأميرة,1949,nan,110,حاول هلال سطو ثروه ٱبن عم فتاه صعيد لٰكن نجح تصدي حاول ٱنتقام قتل فاز ذٰلك ثروه لٰكن نجا مخطط دبر ٱبن عم جريمه اقنع قاتل حاول هر وقع برثن منوم مغنطيسي ٱستغل جمع ثروه طريق ايهام ناس حضر روح امير فرعونيهتتعرف شاب تزوج منوم ٱستنزف مال زوج تصدي خيمه هدوء سعاده,"كوكا,كمال الشناوي,أحمد البيه,حسن فايق,السيد بدير,نجمة إبراهيم,شافيه,فاخر فاخر,عبدالعزيز محمود,عزيزة حلمي,إدمون تويما,خميس,عبدالمنعم إسماعيل","محمد كامل حسن المحامي,نيازي مصطفى,أبو السعود الإبياري","أفلام الجابرى (على الجابرى),علي الجابري","محمد عبدالعظيم,كمال كريم","حلمى صادق,جلال مصطفى","ستوديو الأهرام (ستوديوهات الأهرام),جلال محمد,حسين الشريف (حسين شريف)",nan,"شافية أحمد,عبدالعزيز محمود,أبو السعود الإبياري,جليل البنداري","نيازي مصطفى,محمد جلال",ليفشتز
المجنونة,1949,nan,110,عادل طبيب نفساني قضي اجازه اسكندري ٱلتقي ليل زميل قديم اقام عم زوجه لاحظ عادل شكا شيء حسس احساس خفي دبر شيءا تولي عادل علاج مصح رحله علاج عرف عم وصي ثروه ٱكتشف عم زوجه دبر يويا دمر عقل ليلي هدف وصي ثروه كبير رحله علاج تحري تدخل حياه ليلي ٱكتشف عم دبر موت اخ زوجه طبيعي بدا عم مساعد زوجه تدبير منع عادل علاج ليلي عادل ٱستعان بوليس حبط المءامره كشف سر مرض ليلي قبض عم زوجه ٱستمر رحله علاج ليلي عادل حتي شفي بدا حياه جديد احب تجربه مرض ٱستطاع ليلي رغم شك تجربه قاسي منع حب تزوج اخير,"عبدالمنعم إسماعيل,السيد بدير,محمود رضا,رياض القصبجي,إسماعيل يس,محمد فوزي,ليلى مراد,زينات صدقي,صالحة قاصين,زكي إبراهيم,ماري باي باي (بهيجة محمد علي),ماري منيب",حلمي رفلة,"رفائيل جبور,أفلام محمد فوزي,محمد فوزي","برونو سالفي,عبدالله ياقوت",سعيد الشيخ,"ستوديو مصر,أنطوان بوليزويس",nan,"مصطفى السيد,عزيز فاضل,مأمون الشناوي,محمد فوزي","حلمي رفلة,عاطف سالم",منتخبات بهنا فيلم
حلاوة,1949,nan,-,ملخص,"ماري منيب,محمود المليجي,عزيزة حلمي,لولا صدقي,عزيز عثمان,محمد كمال المصري (شرفنطح),ليلى فوزي,حسن فايق,سامية رشدي,كمال الشناوي",أبو السعود الإبياري,"ليلى فيلم,شركة الاقتصاد العمومية",nan,nan,nan,nan,nan,إبراهيم عمارة,شركة الاقتصاد العمومية
